"date","content","amount","type"
"04/12/2011 09:35:00","enhance user-centric schemas","37235","Withdraw"
"04/12/2014 09:35:00","reintermediate compelling web-readiness","21338","Withdraw"
"18/12/2014 09:24:08","evolve enterprise metrics","68561","Deposit"
"01/02/2010 08:47:00","maximize rich solutions","41540","Deposit"
"07/09/2017 08:15:00","matrix world-class e-tailers","46556","Withdraw"
"20/4/2023 08:22:36","e-enable mission-critical infrastructures","77230","Withdraw"
"14/3/2021 09:56:18","expedite intuitive ROI","68430","Deposit"
"19/10/2016 09:28:33","target robust initiatives","50522","Deposit"
"14/3/2021 09:56:18","envisioneer next-generation web-readiness","81721","Withdraw"
"13/2/2022 08:50:49","scale value-added e-services","76283","Withdraw"
"10/10/2019 08:00:00","unleash holistic portals","96035","Withdraw"
"12/02/2017 09:21:00","brand seamless users","82535","Withdraw"
"04/10/2022 08:15:00","scale back-end platforms","72674","Deposit"
"19/8/2023 09:46:19","engage seamless e-tailers","71063","Deposit"
"26/12/2012 09:10:05","whiteboard bleeding-edge eyeballs","20894","Deposit"
"10/04/2020 08:38:00","unleash e-business vortals","91913","Deposit"
"29/10/2012 09:24:27","streamline robust e-markets","74412","Withdraw"
"13/2/2010 09:45:10","engineer plug-and-play technologies","85708","Deposit"
"19/2/2019 08:45:02","repurpose one-to-one functionalities","93205","Deposit"
"22/5/2022 09:13:43","optimize viral interfaces","37983","Deposit"
"11/10/2020 09:31:00","optimize world-class blockchains","19186","Withdraw"
"26/12/2013 08:48:47","transition dynamic interfaces","89783","Deposit"
"04/08/2010 09:29:00","enhance world-class e-business","84318","Withdraw"
"25/2/2023 08:56:02","leverage open-source applications","88746","Deposit"
"26/11/2016 08:17:39","e-enable world-class partnerships","16866","Deposit"
"27/11/2021 08:58:42","morph web-enabled models","71454","Withdraw"
"26/6/2012 09:34:02","enable efficient models","80156","Deposit"
"01/02/2010 08:47:00","facilitate holistic vortals","90603","Withdraw"
"27/8/2015 08:24:18","iterate magnetic vortals","15961","Withdraw"
"13/6/2023 09:56:37","benchmark intuitive e-services","89271","Withdraw"
"08/03/2016 08:29:00","revolutionize proactive users","32675","Withdraw"
"10/09/2010 09:30:00","enhance vertical markets","82389","Withdraw"
"22/5/2020 08:23:03","disintermediate granular ROI","75328","Deposit"
"20/4/2023 08:22:36","deliver collaborative platforms","54324","Deposit"
"06/07/2020 09:33:00","deliver revolutionary models","82453","Withdraw"
"26/12/2012 09:10:05","brand rich convergence","16023","Withdraw"
"08/10/2015 09:16:00","reinvent customized applications","91419","Deposit"
"12/01/2016 09:31:00","engineer scalable markets","37775","Withdraw"
"08/05/2014 08:44:00","enhance scalable e-services","40494","Deposit"
"10/10/2019 08:00:00","seize innovative ROI","14450","Deposit"
"30/4/2016 08:34:17","incubate extensible interfaces","49583","Withdraw"
"13/6/2019 08:44:15","facilitate virtual markets","87295","Withdraw"
"20/3/2020 08:59:00","scale compelling e-commerce","51149","Deposit"
"11/03/2021 09:09:00","engineer extensible schemas","54696","Withdraw"
"26/8/2022 08:22:01","evolve back-end blockchains","97612","Withdraw"
"19/5/2017 09:16:48","expedite back-end communities","55582","Withdraw"
"12/02/2017 09:21:00","utilize robust synergies","83597","Withdraw"
"07/07/2023 08:57:00","exploit B2C e-business","82185","Withdraw"
"02/06/2015 08:56:00","syndicate killer deliverables","77026","Withdraw"
"26/11/2023 08:28:32","monetize bricks-and-clicks channels","33891","Withdraw"
"22/5/2014 08:15:33","utilize wireless niches","51344","Deposit"
"15/12/2014 09:58:48","streamline viral initiatives","86064","Withdraw"
"21/6/2018 09:39:28","syndicate virtual e-services","77045","Deposit"
"31/10/2017 08:24:49","generate 24/7 experiences","12140","Deposit"
"06/04/2015 08:42:00","generate next-generation markets","31033","Deposit"
"08/03/2019 08:13:00","transition customized models","33826","Deposit"
"26/9/2017 08:13:57","streamline integrated schemas","84300","Deposit"
"11/03/2021 09:09:00","synergize cross-media experiences","48702","Deposit"
"26/11/2023 08:28:32","orchestrate cross-platform initiatives","36895","Deposit"
"14/11/2012 09:23:13","incentivize B2C partnerships","24491","Deposit"
"20/7/2016 09:41:08","iterate best-of-breed supply-chains","63610","Deposit"
"11/03/2020 09:16:00","e-enable e-business models","51655","Deposit"
"30/8/2018 09:39:41","leverage front-end e-commerce","44804","Withdraw"
"15/2/2019 09:16:16","synergize visionary mindshare","13365","Deposit"
"14/3/2019 09:01:59","embrace sticky schemas","46913","Deposit"
"16/1/2022 08:51:14","whiteboard viral e-commerce","16586","Withdraw"
"30/10/2012 09:25:13","deploy clicks-and-mortar interfaces","40381","Deposit"
"07/05/2011 08:51:00","maximize clicks-and-mortar action-items","84135","Deposit"
"26/10/2021 09:28:03","recontextualize proactive platforms","12474","Deposit"
"20/3/2020 08:59:00","orchestrate frictionless paradigms","65170","Withdraw"
"21/7/2021 08:26:50","repurpose enterprise web services","50079","Withdraw"
"25/6/2020 08:00:39","monetize proactive methodologies","34928","Withdraw"
"26/6/2012 09:34:02","expedite end-to-end metrics","96837","Withdraw"
"30/7/2017 08:23:41","matrix cross-platform blockchains","62449","Deposit"
"17/3/2023 08:11:11","transition killer content","14278","Deposit"
"26/8/2022 08:22:01","evolve virtual methodologies","28172","Withdraw"
"23/7/2010 08:56:54","monetize mission-critical applications","77814","Withdraw"
"18/5/2010 08:41:00","incentivize plug-and-play relationships","34070","Deposit"
"23/6/2016 08:55:49","synthesize collaborative infomediaries","38505","Deposit"
"01/02/2024 09:14:00","transition real-time vortals","13867","Withdraw"
"19/9/2016 08:50:18","deliver user-centric vortals","74447","Deposit"
"07/04/2012 08:43:00","matrix front-end convergence","58422","Deposit"
"10/04/2020 08:38:00","implement visionary partnerships","11660","Withdraw"
"21/12/2020 09:45:18","evolve wireless bandwidth","64326","Withdraw"
"09/07/2016 09:30:00","enhance dot-com platforms","18245","Withdraw"
"01/10/2023 08:05:00","engage cutting-edge markets","87933","Deposit"
"19/10/2016 09:28:33","redefine plug-and-play e-commerce","64210","Deposit"
"10/09/2010 09:30:00","utilize global functionalities","77819","Deposit"
"21/7/2021 08:26:50","transition extensible portals","57997","Deposit"
"27/2/2023 09:33:30","incubate interactive relationships","86243","Withdraw"
"13/2/2022 08:50:49","orchestrate intuitive content","70094","Withdraw"
